gene,fake
CHURC1,Gene 3966
CHX10,Gene 3967
CIAO1,Gene 3968
CIAPIN1,Gene 3969
CIB1,Gene 3970
CIB2,Gene 3971
CIB3,Gene 3972
CIB4,Gene 3973
CIC,Gene 3974
CICE,Gene 3975
CICK0721Q.1,Gene 3976
CIDEA,Gene 3977
CIDEB,Gene 3978
CIDEC,Gene 3979
CIDECP,Gene 3980
CIITA,Gene 3981
CILP,Gene 3982
CILP2,Gene 3983
CINP,Gene 3984
CIP29,Gene 3985
CIR1,Gene 3986
CIRBP,Gene 3987
CIRH1A,Gene 3988
CISD1,Gene 3989
CISD2,Gene 3990
CISD3,Gene 3991
CISH,Gene 3992
CIT,Gene 3993
CITED1,Gene 3994
CITED2,Gene 3995
CITED4,Gene 3996
CIZ1,Gene 3997
CKAP2,Gene 3998
CKAP2L,Gene 3999
CKAP4,Gene 4000
CKAP5,Gene 4001
CKB,Gene 4002
CKLF,Gene 4003
CKM,Gene 4004
CKMT1A,Gene 4005
CKMT1B,Gene 4006
CKMT2,Gene 4007
CKS1B,Gene 4008
CKS2,Gene 4009
CLASP1,Gene 4010
CLASP2,Gene 4011
CLC,Gene 4012
CLCA1,Gene 4013
CLCA2,Gene 4014
CLCA3,Gene 4015
CLCA4,Gene 4016
CLCC1,Gene 4017
CLCF1,Gene 4018
CLCN1,Gene 4019
CLCN2,Gene 4020
CLCN3,Gene 4021
CLCN4,Gene 4022
CLCN5,Gene 4023
CLCN6,Gene 4024
CLCN7,Gene 4025
CLCNKA,Gene 4026
CLCNKB,Gene 4027
CLDN1,Gene 4028
CLDN10,Gene 4029
CLDN11,Gene 4030
CLDN12,Gene 4031
CLDN14,Gene 4032
CLDN15,Gene 4033
CLDN16,Gene 4034
CLDN17,Gene 4035
CLDN18,Gene 4036
CLDN19,Gene 4037
CLDN2,Gene 4038
CLDN20,Gene 4039
CLDN22,Gene 4040
CLDN23,Gene 4041
CLDN24,Gene 4042
CLDN3,Gene 4043
CLDN4,Gene 4044
CLDN5,Gene 4045
CLDN6,Gene 4046
CLDN7,Gene 4047
CLDN8,Gene 4048
CLDN9,Gene 4049
CLDND1,Gene 4050
CLDND2,Gene 4051
CLEC10A,Gene 4052
CLEC11A,Gene 4053
CLEC12A,Gene 4054
CLEC12B,Gene 4055
CLEC14A,Gene 4056
CLEC16A,Gene 4057
CLEC17A,Gene 4058
CLEC18C,Gene 4059
CLEC1A,Gene 4060
CLEC1B,Gene 4061
CLEC2A,Gene 4062
CLEC2B,Gene 4063
CLEC2D,Gene 4064
CLEC2L,Gene 4065
CLEC3A,Gene 4066
CLEC3B,Gene 4067
CLEC4A,Gene 4068
CLEC4C,Gene 4069
CLEC4D,Gene 4070
CLEC4E,Gene 4071
CLEC4F,Gene 4072
CLEC4G,Gene 4073
CLEC4GP1,Gene 4074
CLEC4M,Gene 4075
CLEC5A,Gene 4076
CLEC6A,Gene 4077
CLEC7A,Gene 4078
CLEC9A,Gene 4079
CLECL1,Gene 4080
CLGN,Gene 4081
CLIC1,Gene 4082
CLIC2,Gene 4083
CLIC3,Gene 4084
CLIC4,Gene 4085
CLIC5,Gene 4086
CLIC6,Gene 4087
CLINT1,Gene 4088
CLIP1,Gene 4089
CLIP2,Gene 4090
CLIP3,Gene 4091
CLIP4,Gene 4092
CLK1,Gene 4093
CLK2,Gene 4094
CLK2P,Gene 4095
CLK3,Gene 4096
CLK4,Gene 4097
CLLU1,Gene 4098
CLLU1OS,Gene 4099
CLMN,Gene 4100
CLN3,Gene 4101
CLN5,Gene 4102
CLN6,Gene 4103
CLN8,Gene 4104
CLNK,Gene 4105
CLNS1A,Gene 4106
CLOCK,Gene 4107
CLP1,Gene 4108
CLPB,Gene 4109
CLPP,Gene 4110
CLPS,Gene 4111
CLPTM1,Gene 4112
CLPTM1L,Gene 4113
CLPX,Gene 4114
CLRN1,Gene 4115
CLRN1OS,Gene 4116
CLRN2,Gene 4117
CLRN3,Gene 4118
CLSPN,Gene 4119
CLSTN1,Gene 4120
CLSTN2,Gene 4121
CLSTN3,Gene 4122
CLTA,Gene 4123
CLTB,Gene 4124
CLTC,Gene 4125
CLTCL1,Gene 4126
CLU,Gene 4127
CLUAP1,Gene 4128
CLUL1,Gene 4129
CLVS2,Gene 4130
CLYBL,Gene 4131
CMA1,Gene 4132
CMAH,Gene 4133
CMAS,Gene 4134
CMBL,Gene 4135
CMC1,Gene 4136
CMIP,Gene 4137
CMKLR1,Gene 4138
CMPK1,Gene 4139
CMPK2,Gene 4140
CMTM1,Gene 4141
CMTM2,Gene 4142
CMTM3,Gene 4143
CMTM4,Gene 4144
CMTM5,Gene 4145
CMTM6,Gene 4146
CMTM7,Gene 4147
CMTM8,Gene 4148
CMYA3,Gene 4149
CMYA5,Gene 4150
CNBD1,Gene 4151
CNBP,Gene 4152
CNDP1,Gene 4153
CNDP2,Gene 4154
CNFN,Gene 4155
CNGA1,Gene 4156
CNGA2,Gene 4157
CNGA3,Gene 4158
CNGA4,Gene 4159
CNGB1,Gene 4160
CNGB3,Gene 4161
CNIH,Gene 4162
CNIH2,Gene 4163
CNIH3,Gene 4164
CNIH4,Gene 4165
CNKSR1,Gene 4166
CNKSR2,Gene 4167
CNKSR3,Gene 4168
CNN1,Gene 4169
CNN2,Gene 4170
CNN3,Gene 4171
CNNM1,Gene 4172
CNNM2,Gene 4173
CNNM3,Gene 4174
CNNM4,Gene 4175
CNO,Gene 4176
CNOT1,Gene 4177
CNOT10,Gene 4178
CNOT2,Gene 4179
CNOT3,Gene 4180
CNOT4,Gene 4181
CNOT6,Gene 4182
CNOT6L,Gene 4183
CNOT7,Gene 4184
CNOT8,Gene 4185
CNP,Gene 4186
CNPY1,Gene 4187
CNPY2,Gene 4188
CNPY3,Gene 4189
CNPY4,Gene 4190
CNR1,Gene 4191
CNR2,Gene 4192
CNRIP1,Gene 4193
CNTD1,Gene 4194
CNTD2,Gene 4195
CNTF,Gene 4196
CNTFR,Gene 4197
CNTLN,Gene 4198
CNTN1,Gene 4199
CNTN2,Gene 4200
CNTN3,Gene 4201
CNTN4,Gene 4202
CNTN5,Gene 4203
CNTN6,Gene 4204
CNTNAP1,Gene 4205
CNTNAP2,Gene 4206
CNTNAP3,Gene 4207
CNTNAP3B,Gene 4208
CNTNAP4,Gene 4209
CNTNAP5,Gene 4210
CNTROB,Gene 4211
COASY,Gene 4212
COBL,Gene 4213
COBLL1,Gene 4214
COBRA1,Gene 4215
COCH,Gene 4216
COG1,Gene 4217
COG2,Gene 4218
COG3,Gene 4219
COG4,Gene 4220
COG5,Gene 4221
COG6,Gene 4222
COG7,Gene 4223
COG8,Gene 4224
COIL,Gene 4225
COL10A1,Gene 4226
COL11A1,Gene 4227
COL11A2,Gene 4228
COL12A1,Gene 4229
COL13A1,Gene 4230
COL14A1,Gene 4231
COL15A1,Gene 4232
COL16A1,Gene 4233
COL17A1,Gene 4234
COL18A1,Gene 4235
COL19A1,Gene 4236
COL1A1,Gene 4237
COL1A2,Gene 4238
COL20A1,Gene 4239
COL21A1,Gene 4240
COL22A1,Gene 4241
COL23A1,Gene 4242
COL24A1,Gene 4243
COL25A1,Gene 4244
COL27A1,Gene 4245
COL28,Gene 4246
COL28A1,Gene 4247
COL29A1,Gene 4248
COL2A1,Gene 4249
COL3A1,Gene 4250
COL4A1,Gene 4251
COL4A2,Gene 4252
COL4A3,Gene 4253
COL4A3BP,Gene 4254
COL4A4,Gene 4255
COL4A5,Gene 4256
COL4A6,Gene 4257
COL5A1,Gene 4258
COL5A2,Gene 4259
COL5A3,Gene 4260
COL6A1,Gene 4261
COL6A2,Gene 4262
COL6A3,Gene 4263
COL6A6,Gene 4264
COL7A1,Gene 4265
COL8A1,Gene 4266
COL8A2,Gene 4267
COL9A1,Gene 4268
COL9A2,Gene 4269
COL9A3,Gene 4270
COLEC10,Gene 4271
COLEC11,Gene 4272
COLEC12,Gene 4273
COLQ,Gene 4274
COMMD1,Gene 4275
COMMD10,Gene 4276
COMMD2,Gene 4277
COMMD3,Gene 4278
COMMD4,Gene 4279
COMMD5,Gene 4280
COMMD6,Gene 4281
COMMD7,Gene 4282
COMMD8,Gene 4283
COMMD9,Gene 4284
COMP,Gene 4285
COMT,Gene 4286
COMTD1,Gene 4287
COPA,Gene 4288
COPB1,Gene 4289
COPB2,Gene 4290
COPE,Gene 4291
COPG,Gene 4292
COPG2,Gene 4293
COPG2IT1,Gene 4294
COPS2,Gene 4295
COPS3,Gene 4296
COPS4,Gene 4297
COPS5,Gene 4298
COPS6,Gene 4299
COPS7A,Gene 4300
COPS7B,Gene 4301
COPS8,Gene 4302
COPZ1,Gene 4303
COPZ2,Gene 4304
COQ10A,Gene 4305
COQ10B,Gene 4306
COQ2,Gene 4307
COQ3,Gene 4308
COQ4,Gene 4309
COQ5,Gene 4310
COQ6,Gene 4311
COQ7,Gene 4312
COQ9,Gene 4313
CORIN,Gene 4314
CORO1A,Gene 4315
CORO1B,Gene 4316
CORO1C,Gene 4317
CORO2A,Gene 4318
CORO2B,Gene 4319
CORO6,Gene 4320
CORO7,Gene 4321
CORT,Gene 4322
COTL1,Gene 4323
COX10,Gene 4324
COX11,Gene 4325
COX11P,Gene 4326
COX15,Gene 4327
COX16,Gene 4328
COX17,Gene 4329
COX18,Gene 4330
COX19,Gene 4331
COX4I1,Gene 4332
COX4I2,Gene 4333
COX4NB,Gene 4334
COX5A,Gene 4335
COX5B,Gene 4336
COX6A1,Gene 4337
COX6A2,Gene 4338
COX6B1,Gene 4339
COX6B2,Gene 4340
COX6BP1,Gene 4341
COX6C,Gene 4342
COX7A1,Gene 4343
COX7A2,Gene 4344
COX7A2L,Gene 4345
COX7B,Gene 4346
COX7B2,Gene 4347
COX7C,Gene 4348
COX8A,Gene 4349
COX8C,Gene 4350
CP,Gene 4351
CP110,Gene 4352
CPA1,Gene 4353
CPA2,Gene 4354
CPA3,Gene 4355
CPA4,Gene 4356
CPA5,Gene 4357
CPA6,Gene 4358
CPAMD8,Gene 4359
CPB1,Gene 4360
CPB2,Gene 4361
CPD,Gene 4362
CPE,Gene 4363
CPEB1,Gene 4364
CPEB2,Gene 4365
CPEB3,Gene 4366
CPEB4,Gene 4367
CPLX1,Gene 4368
CPLX2,Gene 4369
CPLX3,Gene 4370
CPLX4,Gene 4371
CPM,Gene 4372
CPN1,Gene 4373
CPN2,Gene 4374
CPNE1,Gene 4375
CPNE2,Gene 4376
CPNE3,Gene 4377
CPNE4,Gene 4378
CPNE5,Gene 4379
CPNE6,Gene 4380
CPNE7,Gene 4381
CPNE8,Gene 4382
CPNE9,Gene 4383
CPO,Gene 4384
CPOX,Gene 4385
CPPED1,Gene 4386
CPS1,Gene 4387
CPSF1,Gene 4388
CPSF2,Gene 4389
CPSF3,Gene 4390
CPSF3L,Gene 4391
CPSF4,Gene 4392
CPSF4L,Gene 4393
CPSF6,Gene 4394
CPT1A,Gene 4395
CPT1B,Gene 4396
CPT1C,Gene 4397
CPT2,Gene 4398
CPVL,Gene 4399
CPXCR1,Gene 4400
CPXM1,Gene 4401
CPXM2,Gene 4402
CPZ,Gene 4403
CR1,Gene 4404
CR1L,Gene 4405
CR2,Gene 4406
CRABP1,Gene 4407
CRABP2,Gene 4408
CRADD,Gene 4409
CRAMP1L,Gene 4410
CRAT,Gene 4411
CRB1,Gene 4412
CRB2,Gene 4413
CRB3,Gene 4414
CRBN,Gene 4415
CRCP,Gene 4416
CRCT1,Gene 4417
CREB1,Gene 4418
CREB3,Gene 4419
CREB3L1,Gene 4420
CREB3L2,Gene 4421
CREB3L3,Gene 4422
CREB3L4,Gene 4423
CREB5,Gene 4424
CREBBP,Gene 4425
CREBL1,Gene 4426
CREBL2,Gene 4427
CREBZF,Gene 4428
CREG1,Gene 4429
CREG2,Gene 4430
CRELD1,Gene 4431
CRELD2,Gene 4432
CREM,Gene 4433
CRH,Gene 4434
CRHBP,Gene 4435
CRHR1,Gene 4436
CRHR2,Gene 4437
CRIM1,Gene 4438
CRIM2,Gene 4439
CRIP1,Gene 4440
CRIP2,Gene 4441
CRIP3,Gene 4442
CRIPAK,Gene 4443
CRIPT,Gene 4444
CRISP1,Gene 4445
CRISP2,Gene 4446
CRISP3,Gene 4447
CRISPLD1,Gene 4448
CRISPLD2,Gene 4449
CRK,Gene 4450
CRKL,Gene 4451
CRKRS,Gene 4452
CRLF1,Gene 4453
CRLF2,Gene 4454
CRLF3,Gene 4455
CRLS1,Gene 4456
CRMP1,Gene 4457
CRNKL1,Gene 4458
CRNN,Gene 4459
CROCC,Gene 4460
CROCCL1,Gene 4461
CROCCL2,Gene 4462
CROP,Gene 4463
CROT,Gene 4464
CRP,Gene 4465
CRSP2,Gene 4466
CRSP6,Gene 4467
CRSP9,Gene 4468
CRTAC1,Gene 4469
CRTAM,Gene 4470
CRTAP,Gene 4471
CRTC1,Gene 4472
CRTC2,Gene 4473
CRTC3,Gene 4474
CRX,Gene 4475
CRY1,Gene 4476
CRY2,Gene 4477
CRYAA,Gene 4478
CRYAB,Gene 4479
CRYBA1,Gene 4480
CRYBA2,Gene 4481
CRYBA4,Gene 4482
CRYBB1,Gene 4483
CRYBB2,Gene 4484
CRYBB3,Gene 4485
CRYBG3,Gene 4486
CRYGA,Gene 4487
CRYGB,Gene 4488
CRYGC,Gene 4489
CRYGD,Gene 4490
CRYGN,Gene 4491
CRYGS,Gene 4492
CRYL1,Gene 4493
CRYM,Gene 4494
CRYZ,Gene 4495
CRYZL1,Gene 4496
CS,Gene 4497
CSAD,Gene 4498
CSAG1,Gene 4499
CSAG2,Gene 4500
CSAG3,Gene 4501
CSAG3A,Gene 4502
CSAG3B,Gene 4503
CSDA,Gene 4504
CSDC2,Gene 4505
CSDE1,Gene 4506
CSE1L,Gene 4507
CSF1,Gene 4508
CSF1R,Gene 4509
CSF2,Gene 4510
CSF2RA,Gene 4511
CSF2RB,Gene 4512
CSF3,Gene 4513
CSF3R,Gene 4514
CSGALNACT1,Gene 4515
CSGALNACT2,Gene 4516
CSH1,Gene 4517
CSH2,Gene 4518
CSHL1,Gene 4519
CSK,Gene 4520
CSMD1,Gene 4521
CSMD2,Gene 4522
CSMD3,Gene 4523
CSN1S1,Gene 4524
CSN1S2A,Gene 4525
CSN1S2B,Gene 4526
CSN2,Gene 4527
CSN3,Gene 4528
CSNK1A1,Gene 4529
CSNK1A1L,Gene 4530
CSNK1A1P,Gene 4531
CSNK1D,Gene 4532
CSNK1E,Gene 4533
CSNK1G1,Gene 4534
CSNK1G2,Gene 4535
CSNK1G3,Gene 4536
CSNK2A1,Gene 4537
CSNK2A1P,Gene 4538
CSNK2A2,Gene 4539
CSNK2B,Gene 4540
CSPG4,Gene 4541
CSPG4LYP1,Gene 4542
CSPG4LYP2,Gene 4543
CSPG5,Gene 4544
CSPP1,Gene 4545
CSRNP2,Gene 4546
CSRNP3,Gene 4547
CSRP1,Gene 4548
CSRP2,Gene 4549
CSRP2BP,Gene 4550
CSRP3,Gene 4551
CST1,Gene 4552
CST11,Gene 4553
CST2,Gene 4554
CST3,Gene 4555
CST4,Gene 4556
CST5,Gene 4557
CST6,Gene 4558
CST7,Gene 4559
CST8,Gene 4560
CST9,Gene 4561
CST9L,Gene 4562
CSTA,Gene 4563
CSTB,Gene 4564
CSTF1,Gene 4565
CSTF2,Gene 4566
CSTF2T,Gene 4567
CSTF3,Gene 4568
CSTL1,Gene 4569
CT45-2,Gene 4570
CT45A1,Gene 4571
CT45A4,Gene 4572
CT45A5,Gene 4573
CT45A6,Gene 4574
CT47A1,Gene 4575
CT47A6,Gene 4576
CT47A7,Gene 4577
CTAG1A,Gene 4578
CTAG1B,Gene 4579
CTAG2,Gene 4580
CTAGE1,Gene 4581
CTAGE4,Gene 4582
CTAGE5,Gene 4583
CTAGE6,Gene 4584
CTBP1,Gene 4585
CTBP2,Gene 4586
CTBS,Gene 4587
CTCF,Gene 4588
CTCFL,Gene 4589
CTDP1,Gene 4590
CTDSP1,Gene 4591
CTDSP2,Gene 4592
CTDSPL,Gene 4593
CTDSPL2,Gene 4594
CTF1,Gene 4595
CTGF,Gene 4596
CTGLF1,Gene 4597
CTGLF3,Gene 4598
CTGLF5,Gene 4599
CTGLF6,Gene 4600
CTGLF7,Gene 4601
CTH,Gene 4602
CTHRC1,Gene 4603
CTLA4,Gene 4604
CTNNA1,Gene 4605
CTNNA2,Gene 4606
CTNNA3,Gene 4607
CTNNAL1,Gene 4608
CTNNB1,Gene 4609
CTNNBIP1,Gene 4610
CTNNBL1,Gene 4611
CTNND1,Gene 4612
CTNND2,Gene 4613
CTNS,Gene 4614
CTPS,Gene 4615
CTPS2,Gene 4616
CTR9,Gene 4617
CTRB1,Gene 4618
CTRB2,Gene 4619
CTRC,Gene 4620
CTRL,Gene 4621
CTSA,Gene 4622
CTSB,Gene 4623
CTSC,Gene 4624
CTSD,Gene 4625
CTSE,Gene 4626
CTSF,Gene 4627
CTSG,Gene 4628
CTSH,Gene 4629
CTSK,Gene 4630
CTSL1,Gene 4631
CTSL2,Gene 4632
CTSL3,Gene 4633
CTSO,Gene 4634
CTSS,Gene 4635
CTSW,Gene 4636
CTSZ,Gene 4637
CTTN,Gene 4638
CTTNBP2,Gene 4639
CTTNBP2NL,Gene 4640
CTU2,Gene 4641
CTXN1,Gene 4642
CTXN2,Gene 4643
CTXN3,Gene 4644
CUBN,Gene 4645
CUEDC1,Gene 4646
CUEDC2,Gene 4647
CUGBP1,Gene 4648
CUGBP2,Gene 4649
CUL1,Gene 4650
CUL2,Gene 4651
CUL3,Gene 4652
CUL4A,Gene 4653
CUL4B,Gene 4654
CUL5,Gene 4655
CUL7,Gene 4656
CUL9,Gene 4657
CUTA,Gene 4658
CUTC,Gene 4659
CUTL1,Gene 4660
CUX1,Gene 4661
CUX2,Gene 4662
CUZD1,Gene 4663
CWC15,Gene 4664
CWC22,Gene 4665
CWF19L1,Gene 4666
CWF19L2,Gene 4667
CX3CL1,Gene 4668
CX3CR1,Gene 4669
CXADR,Gene 4670
CXADRP2,Gene 4671
CXADRP3,Gene 4672
CXCL1,Gene 4673
CXCL10,Gene 4674
CXCL11,Gene 4675
CXCL12,Gene 4676
CXCL13,Gene 4677
CXCL14,Gene 4678
CXCL16,Gene 4679
CXCL17,Gene 4680
CXCL2,Gene 4681
CXCL3,Gene 4682
CXCL5,Gene 4683
CXCL6,Gene 4684
CXCL9,Gene 4685
CXCR1,Gene 4686
CXCR3,Gene 4687
CXCR4,Gene 4688
CXCR5,Gene 4689
CXCR6,Gene 4690
CXCR7,Gene 4691
CXorf1,Gene 4692
CXorf12,Gene 4693
CXorf15,Gene 4694
CXorf18,Gene 4695
CXorf20,Gene 4696
CXorf21,Gene 4697
CXorf22,Gene 4698
CXorf23,Gene 4699
CXorf24,Gene 4700
CXorf26,Gene 4701
CXorf27,Gene 4702
CXorf30,Gene 4703
CXorf36,Gene 4704
CXorf38,Gene 4705
CXorf39,Gene 4706
CXorf40A,Gene 4707
CXorf40B,Gene 4708
CXorf41,Gene 4709
CXorf42,Gene 4710
CXorf45,Gene 4711
CXorf48,Gene 4712
CXorf50,Gene 4713
CXorf52,Gene 4714
CXorf55,Gene 4715
CXorf56,Gene 4716
CXorf57,Gene 4717
CXorf58,Gene 4718
CXorf59,Gene 4719
CXorf61,Gene 4720
CXorf64,Gene 4721
CXorf65,Gene 4722
CXorf67,Gene 4723
CXXC1,Gene 4724
CXXC4,Gene 4725
CXXC5,Gene 4726
CXXC6,Gene 4727
CXYorf2,Gene 4728
CYB561,Gene 4729
CYB561D1,Gene 4730
CYB561D2,Gene 4731
CYB5A,Gene 4732
CYB5B,Gene 4733
CYB5D1,Gene 4734
CYB5D2,Gene 4735
CYB5R1,Gene 4736
CYB5R2,Gene 4737
CYB5R3,Gene 4738
CYB5R4,Gene 4739
CYB5RL,Gene 4740
CYBA,Gene 4741
CYBASC3,Gene 4742
CYBB,Gene 4743
CYBRD1,Gene 4744
CYC1,Gene 4745
CYCS,Gene 4746
CYCSL1,Gene 4747
CYCSP52,Gene 4748
CYFIP1,Gene 4749
CYFIP2,Gene 4750
CYGB,Gene 4751
CYHR1,Gene 4752
CYLC1,Gene 4753
CYLC2,Gene 4754
CYLD,Gene 4755
CYLN2,Gene 4756
CYMP,Gene 4757
CYorf14,Gene 4758
CYorf15A,Gene 4759
CYorf15B,Gene 4760
CYP11A1,Gene 4761
CYP11B1,Gene 4762
CYP11B2,Gene 4763
CYP17A1,Gene 4764
CYP19A1,Gene 4765
CYP1A1,Gene 4766
CYP1A2,Gene 4767
CYP1B1,Gene 4768
CYP20A1,Gene 4769
CYP21A2,Gene 4770
CYP24A1,Gene 4771
CYP26A1,Gene 4772
CYP26B1,Gene 4773
CYP26C1,Gene 4774
CYP27A1,Gene 4775
CYP27B1,Gene 4776
CYP27C1,Gene 4777
CYP2A13,Gene 4778
CYP2A6,Gene 4779
CYP2A7,Gene 4780
CYP2B6,Gene 4781
CYP2B7P1,Gene 4782
CYP2C18,Gene 4783
CYP2C19,Gene 4784
CYP2C8,Gene 4785
CYP2C9,Gene 4786
CYP2D6,Gene 4787
CYP2D7P1,Gene 4788
CYP2E1,Gene 4789
CYP2F1,Gene 4790
CYP2J2,Gene 4791
CYP2R1,Gene 4792
CYP2S1,Gene 4793
CYP2U1,Gene 4794
CYP2W1,Gene 4795
CYP39A1,Gene 4796
CYP3A4,Gene 4797
CYP3A43,Gene 4798
CYP3A5,Gene 4799
CYP3A7,Gene 4800
CYP46A1,Gene 4801
CYP4A11,Gene 4802
CYP4A22,Gene 4803
CYP4B1,Gene 4804
CYP4F11,Gene 4805
CYP4F12,Gene 4806
CYP4F2,Gene 4807
CYP4F22,Gene 4808
CYP4F3,Gene 4809
CYP4F8,Gene 4810
CYP4V2,Gene 4811
CYP4X1,Gene 4812
CYP4Z1,Gene 4813
CYP4Z2P,Gene 4814
CYP51A1,Gene 4815
CYP7A1,Gene 4816
CYP7B1,Gene 4817
CYP8B1,Gene 4818
CYR61,Gene 4819
CYS1,Gene 4820
CYSLTR1,Gene 4821
CYSLTR2,Gene 4822
CYTH1,Gene 4823
CYTH2,Gene 4824
CYTH3,Gene 4825
CYTH4,Gene 4826
CYTIP,Gene 4827
CYTL1,Gene 4828
CYTSA,Gene 4829
CYTSB,Gene 4830
CYYR1,Gene 4831
D21S2056E,Gene 4832
D2HGDH,Gene 4833
D4S234E,Gene 4834
DAAM1,Gene 4835
DAAM2,Gene 4836
DAB1,Gene 4837
DAB2,Gene 4838
DAB2IP,Gene 4839
DACH1,Gene 4840
DACH2,Gene 4841
DACT1,Gene 4842
DACT2,Gene 4843
DACT3,Gene 4844
DAD1,Gene 4845
DAD1L,Gene 4846
DAG1,Gene 4847
DAGLA,Gene 4848
DAGLB,Gene 4849
DAK,Gene 4850
DALRD3,Gene 4851
DAND5,Gene 4852
DAO,Gene 4853
DAOA,Gene 4854
DAP,Gene 4855
DAP3,Gene 4856
DAPK1,Gene 4857
DAPK2,Gene 4858
DAPK3,Gene 4859
DAPL1,Gene 4860
DAPP1,Gene 4861
DARC,Gene 4862
DARS,Gene 4863
DARS2,Gene 4864
DAXX,Gene 4865
DAZ1,Gene 4866
DAZ2,Gene 4867
DAZ3,Gene 4868
DAZ4,Gene 4869
DAZAP1,Gene 4870
DAZAP2,Gene 4871
DAZL,Gene 4872
DBC1,Gene 4873
DBF4,Gene 4874
DBF4B,Gene 4875
DBH,Gene 4876
DBI,Gene 4877
DBN1,Gene 4878
DBNDD1,Gene 4879
DBNDD2,Gene 4880
DBNL,Gene 4881
DBP,Gene 4882
DBR1,Gene 4883
DBT,Gene 4884
DBX1,Gene 4885
DBX2,Gene 4886
DC36,Gene 4887
DCAF10,Gene 4888
DCAF12L2,Gene 4889
DCAF15,Gene 4890
DCAF16,Gene 4891
DCAF4L1,Gene 4892
DCAF6,Gene 4893
DCAF7,Gene 4894
DCAF8L1,Gene 4895
DCAKD,Gene 4896
DCAMKL3,Gene 4897
DCBLD1,Gene 4898
DCBLD2,Gene 4899
DCC,Gene 4900
DCD,Gene 4901
DCDC1,Gene 4902
DCDC2,Gene 4903
DCDC2B,Gene 4904
DCDC5,Gene 4905
DCHS1,Gene 4906
DCHS2,Gene 4907
DCI,Gene 4908
DCK,Gene 4909
DCLK1,Gene 4910
DCLK2,Gene 4911
DCLK3,Gene 4912
DCLRE1A,Gene 4913
DCLRE1B,Gene 4914
DCLRE1C,Gene 4915
DCN,Gene 4916
DCP1A,Gene 4917
DCP1B,Gene 4918
DCP2,Gene 4919
DCPS,Gene 4920
DCST1,Gene 4921
DCST2,Gene 4922
DCT,Gene 4923
DCTD,Gene 4924
DCTN1,Gene 4925
DCTN2,Gene 4926
DCTN3,Gene 4927
DCTN4,Gene 4928
DCTN5,Gene 4929
DCTN6,Gene 4930
DCTPP1,Gene 4931
DCUN1D1,Gene 4932
DCUN1D2,Gene 4933
DCUN1D3,Gene 4934
DCUN1D4,Gene 4935
DCUN1D5,Gene 4936
DCX,Gene 4937
DCXR,Gene 4938
DDA1,Gene 4939
DDAH1,Gene 4940
DDAH2,Gene 4941
DDB1,Gene 4942
DDB2,Gene 4943
DDC,Gene 4944
DDEF2,Gene 4945
DDHD1,Gene 4946
DDHD2,Gene 4947
DDI1,Gene 4948
DDI2,Gene 4949
DDIT3,Gene 4950
DDIT4,Gene 4951
DDIT4L,Gene 4952
DDN,Gene 4953
DDO,Gene 4954
DDOST,Gene 4955
DDR1,Gene 4956
DDR2,Gene 4957
DDRGK1,Gene 4958
DDT,Gene 4959
DDTL,Gene 4960
DDX1,Gene 4961
DDX10,Gene 4962
DDX11,Gene 4963
DDX12,Gene 4964
DDX17,Gene 4965
DDX18,Gene 4966
DDX19A,Gene 4967
DDX19B,Gene 4968
DDX19-DDX19L,Gene 4969
DDX20,Gene 4970
DDX21,Gene 4971
DDX23,Gene 4972
DDX24,Gene 4973
DDX25,Gene 4974
DDX26B,Gene 4975
DDX27,Gene 4976
DDX28,Gene 4977
DDX31,Gene 4978
DDX39,Gene 4979
DDX3X,Gene 4980
DDX3Y,Gene 4981
DDX4,Gene 4982
DDX41,Gene 4983
DDX42,Gene 4984
DDX43,Gene 4985
DDX46,Gene 4986
DDX47,Gene 4987
DDX49,Gene 4988
DDX5,Gene 4989
DDX50,Gene 4990
DDX51,Gene 4991
DDX52,Gene 4992
DDX53,Gene 4993
DDX54,Gene 4994
DDX55,Gene 4995
DDX56,Gene 4996
DDX58,Gene 4997
DDX59,Gene 4998
DDX6,Gene 4999
DDX60,Gene 5000
DDX60L,Gene 5001
DEADC1,Gene 5002
DEAF1,Gene 5003
DECR1,Gene 5004
DECR2,Gene 5005
DEDD,Gene 5006
DEDD2,Gene 5007
DEF6,Gene 5008
DEF8,Gene 5009
DEFA1,Gene 5010
DEFA1B,Gene 5011
DEFA3,Gene 5012
DEFA4,Gene 5013
DEFA5,Gene 5014
DEFA6,Gene 5015
DEFB1,Gene 5016
DEFB103A,Gene 5017
DEFB103B,Gene 5018
DEFB104A,Gene 5019
DEFB104B,Gene 5020
DEFB105A,Gene 5021
DEFB105B,Gene 5022
DEFB106A,Gene 5023
DEFB106B,Gene 5024
DEFB107A,Gene 5025
DEFB107B,Gene 5026
DEFB108B,Gene 5027
DEFB109,Gene 5028
DEFB109P1,Gene 5029
DEFB110,Gene 5030
DEFB112,Gene 5031
DEFB113,Gene 5032
DEFB114,Gene 5033
DEFB115,Gene 5034
DEFB116,Gene 5035
DEFB117,Gene 5036
DEFB118,Gene 5037
DEFB119,Gene 5038
DEFB121,Gene 5039
DEFB122,Gene 5040
DEFB123,Gene 5041
DEFB124,Gene 5042
DEFB125,Gene 5043
DEFB126,Gene 5044
DEFB127,Gene 5045
DEFB128,Gene 5046
DEFB129,Gene 5047
