SYMBOL,Norm.y.2,Tumour_24h_2millimol_Metformin_hydrochloride,Norm.y.3,Tumour_24h_4millimol_Metformin_hydrochloride,Norm.x.3,Tumour_48h_2millimol_Metformin_hydrochloride,Norm.x.4,Tumour_48h_4millimol_Metformin_hydrochloride
NTAN1,357.544620985,382.334744307,357.544620985,404.826447966,376.160339235,417.42253869,376.160339235,438.149664364
NTF3,30.6967766569,28.6701680747,30.6967766569,34.4608210865,29.7037902786,42.2352520906,29.7037902786,31.3874170045
NTF4,52.4836620932,54.8106845978,52.4836620932,61.8702955446,62.2045385711,57.1853637366,62.2045385711,56.6259777845
NTHL1,37.1625523705,28.995233667,37.1625523705,29.3477004817,31.381189476,27.3506564241,31.381189476,28.1499356496
NTM,377.156750357,385.074745899,377.156750357,328.515138867,236.819207487,136.26294534,236.819207487,152.202963707
NTN1,20.1013758256,18.6183763153,20.1013758256,16.7845701711,22.235545045,18.9351608176,22.235545045,19.0990446285
NTN3,15.5086548115,12.5809182923,15.5086548115,16.7520589168,16.8803756666,17.0529235098,16.8803756666,16.7557799098
NTN4,126.320075207,181.744789474,126.320075207,240.509795075,226.580255968,541.895942179,226.580255968,584.396105392
NTN5,19.4473946593,21.5261289752,19.4473946593,19.0009630609,20.3494679619,22.6943296759,20.3494679619,23.7625534539
NTNG1,26.132907409,36.1805350822,26.132907409,24.3764745637,24.2798581013,32.4158032987,24.2798581013,38.1416866647
NTNG2,15.7359000593,16.9982166897,15.7359000593,15.5080200252,16.8145850586,18.9936978079,16.8145850586,17.5294672645
NTRK1,11.6602333511,11.2414338404,11.6602333511,11.1106864061,10.9260273798,12.9984325905,10.9260273798,11.9719918442
NTRK2,16.7660902297,16.4595645256,16.7660902297,15.3309877608,15.653341722,16.15633456,15.653341722,16.5020432154
NTRK3,22.9630394136,23.5282523246,22.9630394136,22.4942189225,23.0883655235,23.1509458343,23.0883655235,23.3567479745
NTS,13.6586960888,15.2932889981,13.6586960888,14.2803304405,14.786181389,13.5551341616,14.786181389,16.3198103001
NTSR1,33.1386531894,27.1958729653,33.1386531894,27.0935980978,22.0383091248,23.4366148928,22.0383091248,26.5167542189
NTSR2,13.2702086216,12.572066894,13.2702086216,14.891722825,15.2861278369,13.1148260452,15.2861278369,15.6791926988
NUAK1,694.894222809,725.444178664,694.894222809,730.446083177,491.916826037,393.828845363,491.916826037,426.711166923
NUB1,46.049114188,44.4459562422,46.049114188,48.0538069813,42.5501710284,46.331187507,42.5501710284,44.0809803178
NUBP1,101.370589185,104.029013827,101.370589185,100.371609017,95.2563028869,60.4666452488,95.2563028869,60.9058780123
NUBP2,229.88484298,215.539101511,229.88484298,198.02733076,244.415299462,204.651691233,244.415299462,199.184469034
NUBPL,167.997246138,163.841933816,167.997246138,176.506229212,161.208032258,137.009324149,161.208032258,130.800047289
NUCB1,64.652698495,62.1421883102,64.652698495,75.3057172843,73.5939740461,63.4007537919,73.5939740461,87.8127364099
NUCB2,170.476485319,193.188605308,170.476485319,173.756533377,139.44727221,174.753867507,139.44727221,172.402743275
NUCKS1,391.811979398,400.873123023,391.811979398,396.550558506,410.630568015,365.401230971,410.630568015,367.176557892
NUDC,217.996793281,186.639944815,217.996793281,191.933029982,180.921464808,167.314782048,180.921464808,145.563940536
NUDCD1,205.660202363,178.856756538,205.660202363,194.150078082,122.950841557,126.520740604,122.950841557,141.188968678
NUDCD2,121.993776509,134.142348201,121.993776509,138.126636828,126.832477088,153.46988233,126.832477088,174.897044339
NUDCD3,77.4588411286,75.4562752713,77.4588411286,78.9540738202,83.5100431483,86.0480862648,83.5100431483,85.3314317313
NUDT1,115.379504992,101.370589185,115.379504992,95.266894223,72.8602115184,40.0640618666,72.8602115184,53.4400104049
NUDT10,20.7642557614,18.3436880709,20.7642557614,19.4986631888,21.3553383111,23.179688625,21.3553383111,20.7907107512
NUDT11,164.120604985,171.205250997,164.120604985,157.858550908,134.04493379,126.783776374,134.04493379,138.557609533
NUDT12,50.5303385394,43.7679039124,50.5303385394,46.4047158814,47.1876002966,35.3359547154,47.1876002966,34.9223218817
NUDT13,13.6747963855,16.6682641089,13.6747963855,14.0322888801,17.434036391,15.3877310623,17.434036391,14.1845174871
NUDT14,46.7388463023,44.3334775434,46.7388463023,50.8517401917,48.4434544719,44.3776744842,48.4434544719,45.0842255656
NUDT15,525.477704561,470.024809517,525.477704561,450.665689495,350.214735702,286.42311052,350.214735702,284.022896064
NUDT16,35.4564231196,38.2045171336,35.4564231196,39.4938985938,35.0254686299,47.4857413155,35.0254686299,50.0087224272
NUDT16L1,62.0490712445,69.0266328832,62.0490712445,72.4956095724,49.6818979648,54.6464330835,49.6818979648,58.8273696134
NUDT16P1,17.3890079915,17.8071191419,17.3890079915,17.617368592,19.527785703,16.9169471033,19.527785703,17.4889208623
NUDT17,23.8859185486,25.0801383621,23.8859185486,22.0472621172,22.8875021898,19.9490464603,22.8875021898,19.0665906028
NUDT18,46.3268164753,41.3570246827,46.3268164753,46.8699023949,53.7402678948,31.1495989907,53.7402678948,31.2120139997
NUDT19,825.718426898,731.76474636,825.718426898,725.444178664,779.793400632,877.101647387,779.793400632,873.483172151
NUDT2,152.021915242,170.05522412,152.021915242,175.28611038,148.556492865,172.124335191,148.556492865,170.446044852
NUDT21,337.969313597,336.762029966,337.969313597,343.363021248,301.945110628,309.249545308,301.945110628,332.487348848
NUDT22,78.9433422528,78.0911988924,78.9433422528,74.7985288475,79.1635310434,82.1863546004,79.1635310434,69.5834614534
NUDT3,44.0083351358,45.553198577,44.0083351358,43.006747624,43.4513768702,46.5729456057,43.4513768702,49.7608099985
NUDT4,173.36904105,182.378154108,173.36904105,199.545409427,178.330179636,237.430932725,178.330179636,273.324354572
NUDT4 ,150.233686787,141.491695388,150.233686787,133.104910997,129.247328671,161.685850859,129.247328671,164.324737162
NUDT5,699.906963966,693.69219847,699.906963966,759.768688976,710.313565486,525.170220181,710.313565486,480.336720439
NUDT6,69.5469297585,69.0461055267,69.5469297585,77.8861309054,60.2281787791,55.2380655715,60.2281787791,48.1766621745
NUDT7,29.380800121,28.0772977803,29.380800121,30.401848535,29.4908681122,28.4427691843,29.4908681122,26.78257733
