SYMBOL,Norm.y.1,Tumour_24h_5micromol_Capryloylsalicylic_acid,Norm.y,Tumour_24h_10micromol_Capryloylsalicylic_acid.y,Norm.x.2,Tumour_48h_5micromol_Capryloylsalicylic_acid,Norm.x.1,Tumour_48h_10micromol_Capryloylsalicylic_acid
CPD,146.129805819,167.014006933,146.129805819,207.12424202,213.07778118,229.468024318,213.07778118,318.110150918
CPE,16.310917407,20.6571753411,16.310917407,21.1201077911,33.0059122654,33.4033492543,33.0059122654,31.7597010828
CPEB1,22.7764923302,20.1846016555,22.7764923302,23.5122596291,20.1777373405,19.3192730106,20.1777373405,19.9729394792
CPEB2,72.976139,77.9569271024,72.976139,91.048779128,94.0086342287,99.9319338288,94.0086342287,98.5969049083
CPEB3,26.4322227253,26.3537444809,26.4322227253,25.0227269016,31.5308499189,28.3261084051,31.5308499189,32.7348044915
CPEB4,113.771560351,98.503069496,113.771560351,98.7609394,92.8002080907,75.9028938827,92.8002080907,109.291738772
CPLX1,10.6101799373,11.6254704313,10.6101799373,13.1826077397,11.5842777544,10.7375957634,11.5842777544,11.0771632849
CPLX2,20.150205521,18.584350128,20.150205521,22.1156684263,18.1116062921,17.8558822391,18.1116062921,20.5201399779
CPLX3 ,19.2096400825,18.4763149075,19.2096400825,17.9096450496,18.7975672372,17.7166376511,18.7975672372,17.0242640091
CPM,17.5882958953,17.4209650567,17.5882958953,15.6757457152,16.8641672089,16.503898315,16.8641672089,16.3991926872
CPN1,17.5673700158,16.8045501349,17.5673700158,18.8930249235,18.766984837,16.6829814492,18.766984837,18.2976994897
CPN2,11.2868480023,10.4018705168,11.2868480023,11.1161004081,11.7033341163,11.0112114206,11.7033341163,10.7073246935
CPNE1,354.315719472,394.075791513,354.315719472,379.006357674,411.472331585,362.246502139,411.472331585,358.208735232
CPNE2,82.3166270429,83.1703375029,82.3166270429,48.0333992153,55.9688409821,61.7778660465,55.9688409821,51.4860919893
CPNE3,1053.51152158,939.999597117,1053.51152158,931.160688771,906.540347987,883.028829163,906.540347987,955.329193954
CPNE4,13.6470838953,13.3737481319,13.6470838953,12.4055993658,14.3649294244,12.7827986944,14.3649294244,13.1979286311
CPNE5,21.2356540588,24.8919434522,21.2356540588,25.5336780803,23.3768687078,23.4126904464,23.3768687078,24.0265458523
CPNE6,20.6729714477,21.2575825901,20.6729714477,21.3448207904,21.2718873156,25.9216208058,21.2718873156,23.8524467503
CPNE7,46.9950582569,40.9953868935,46.9950582569,42.0004953742,45.7511423592,41.3182837001,45.7511423592,36.9669482019
CPNE8,51.8371811175,46.4395792054,51.8371811175,37.0264771276,33.7039908746,31.9981140964,33.7039908746,38.5292763628
CPNE9,30.4157593084,34.4304240565,30.4157593084,32.1985941645,24.7332925406,23.2660698828,24.7332925406,38.0370475501
CPO,21.5728747521,18.8383571813,21.5728747521,25.3500646763,21.3757587934,22.1671426572,21.3757587934,21.2321618506
CPOX,555.24193878,659.944038871,555.24193878,615.062794219,584.082668854,547.465123438,584.082668854,473.776553932
