SYMBOL	SPT1657_SPT1663	SPT1658_SPT1664	SPT1659_SPT1665	SPT1660_SPT1666	SPT1661_SPT1667	SPT1662_SPT1668
EXOSC3	2394.10259457597	2278.75125076066	2054.30276263464	1785.43712981883	2215.42413821612	2033.77228749574
EXPH5	6707.26376537702	6199.41304363849	6171.44298986751	5862.29103315325	6433.07260218405	5448.99937462847
EYA2	1686.50564673949	1538.73523177828	1418.46746634764	1209.63592238615	1586.1242086717	1463.48274721204
EYS	13358.8738382276	13249.1329552423	12039.0505898314	11739.0904431867	14929.1366264262	12519.0272370496
EZH1	4274.40234922011	4117.22854792003	4147.01168410541	4124.91290175006	4386.56039268362	3928.22726720528
EZH2	4253.53221452269	4270.21262876735	3709.18147337356	3742.25446153495	5083.83707402826	4294.09795400829
EZR	5785.99639087643	5410.47769647818	4929.64385416605	4761.46793736856	6102.45840024664	4952.92559643649
F10	2467.64497398594	2369.47436847244	2118.31302736152	2108.24851540314	2871.50278816669	2132.72663695136
F11	9284.22849253995	10079.160489313	8570.54771183094	8285.18997214559	10487.9888421454	9008.75189320296
F11R	4756.40307913682	4722.04933266524	4200.78030647599	4151.20933484541	4886.08652333672	4076.65879138871
F12	3438.60314538517	3413.67966448845	3137.35644181344	3359.59602131985	3276.27344661343	2885.30050517962
F13A1	4395.64789365277	4003.37992961504	3769.777857315	3430.32435861079	4417.45891622917	3723.8084137246
F13B	6356.44673927269	5365.11613762229	5556.94444848947	5459.68357472788	6484.57014142664	5148.23023351995
F2	2581.93380685279	2595.39272042139	2717.44910520511	2756.5916072368	2410.0848365531	2355.3739232265
F2R	5107.22010524115	4912.38999139389	4549.84961678657	4740.61214560328	5246.56929803483	4662.57270263908
F2RL1	1933.96581529466	1849.15060512546	2055.156232831	1839.84354311956	1990.89486711844	1912.683412504
F2RL2	6868.26194732858	6415.54752995186	6704.00839239515	6355.57584707984	6201.33367559241	5468.52983833682
F2RL3	8971.17647207858	8736.10257024638	7455.91563538689	7368.44190802836	9557.94328342427	8474.91921850818
F3	2288.75810515088	2131.10382389639	1643.78359818626	1631.28562546677	2343.13803553774	2153.55913157359
F5	2035.33504096787	2121.3199582608	1858.85808766857	2254.23905776009	2303.99990571337	2094.96774044856
F7	1723.27683644447	1874.94443271018	1632.6884856336	1836.21644889951	2094.91989638847	1876.22654691508
F8	9442.24522667759	8951.34761422924	8386.19814941753	8101.11494047814	10214.0219333748	8174.15007739965
F8A1	4715.65662567995	4807.43579639398	3755.26886397691	4037.8626404689	4688.33597264518	4159.98876987765
F8A2	4715.65662567995	4807.43579639398	3755.26886397691	4037.8626404689	4688.33597264518	4159.98876987765
F8A3	4715.65662567995	4807.43579639398	3755.26886397691	4037.8626404689	4688.33597264518	4159.98876987765
F9	2711.12987878923	2612.29212470104	2229.26415288811	2280.53549085544	2958.01865409424	2305.89674849869
FA2H	7316.47293535422	7296.98487948496	6010.13712275577	6083.5437805762	8021.25671242546	7392.93152906582
FAAH	2055.21135972732	1930.08985720165	2160.13306698308	1985.83408547651	1850.8215603786	1721.28486816221
FAAH2	4621.24411157255	4352.93076550456	4373.18128614039	4153.92965551045	4649.19784282082	3654.80077528844
FABP1	7822.32524778227	7379.70301622218	6511.97759821451	6475.26995634143	7786.42793347926	6728.89576298207
FABP12	8314.2641370787	7854.66522071327	7373.98249653648	6766.34426750032	8789.59999792487	7967.12716209119
FABP2	4799.13716446964	4433.87001758076	4569.47943130281	4568.32517015098	5240.38959332572	3960.77804005252
